country,brand,cars_sold,country_total,share
Argentina,Agrale,769,798665,0.0009628567672303156
Argentina,Alfa Romeo,156,798665,0.0001953259501793618
Argentina,Audi,3571,798665,0.004471211333913468
Argentina,BAIC Motor,460,798665,0.000575961135144272
Argentina,BMW,2843,798665,0.0035596902330764465
Argentina,Chery,6152,798665,0.007702854137842525
Argentina,Chevrolet,101951,798665,0.12765176888933408
Argentina,Citroen,27935,798665,0.03497711806577226
Argentina,DFSK,823,798665,0.0010304695961385563
Argentina,DS,1013,798665,0.001268366586741625
Argentina,Dodge,384,798665,0.00048080233890304447
Argentina,Emgrand,618,798665,0.0007737912641720872
Argentina,Fiat,82615,798665,0.10344136778248703
Argentina,Ford,96206,798665,0.1204585151471518
Argentina,Geely,258,798665,0.000323039071450483
Argentina,Haval,137,798665,0.00017153625111905493
Argentina,Hino,152,798665,0.0001903175924824551
Argentina,Honda,9951,798665,0.012459541860479675
Argentina,Hyundai,2740,798665,0.0034307250223810986
Argentina,Iveco,6401,798665,0.008014624404474967
Argentina,JMC,102,798665,0.00012771312127112119
Argentina,Jeep,14331,798665,0.017943693538592525
Argentina,Kia,2816,798665,0.003525883818622326
Argentina,Lifan,1677,798665,0.0020997539644281396
Argentina,MINI,368,798665,0.0004607689081154176
Argentina,Mercedes-Benz,17194,798665,0.021528425560153507
Argentina,Mitsubishi,218,798665,0.00027295549448141585
Argentina,Nissan,21955,798665,0.027489623308896722
Argentina,Peugeot,61877,798665,0.07747553730287417
Argentina,Ram,860,798665,0.0010767969048349434
Argentina,Renault,116407,798665,0.14575197360595493
Argentina,Scania,1777,798665,0.002224962906850807
Argentina,Shineray,159,798665,0.00019908221845204183
Argentina,Subaru,434,798665,0.0005434068101143783
Argentina,Suzuki,385,798665,0.00048205442832727116
Argentina,Toyota,91783,798665,0.1149205236237972
Argentina,VW,120539,798665,0.15092560710685957
Argentina,Volvo Cars,307,798665,0.00038439145323759024
Argentina,smart,341,798665,0.0004269624936612973
Australia,Abarth,153,1146862,0.00013340750674449063
Australia,Alfa Romeo,1279,1146862,0.0011152170008248594
Australia,Aston Martin,167,1146862,0.00014561472958385578
Australia,Audi,19416,1146862,0.016929674189222418
Australia,BMW,23055,1146862,0.020102680182968832
Australia,Bentley,208,1146862,0.00018136445361342516
Australia,Chrysler,250,1146862,0.00021798612213152062
Australia,Citroen,493,1146862,0.00042986863284335863
Australia,DAF,525,1146862,0.0004577708564761933
Australia,Ferrari,241,1146862,0.00021013862173478587
Australia,Fiat,2259,1146862,0.00196972259958042
Australia,Ford,69081,1146862,0.060234797211870306
Australia,Freightliner,413,1146862,0.00036011307376127206
Australia,GreatWall,784,1146862,0.0006836044790044486
Australia,Haval,633,1146862,0.0005519408612370102
Australia,Hino,5646,1146862,0.004922998582218262
Australia,Holden,60751,1146862,0.052971499622448036
Australia,Honda,51525,1146862,0.0449269397713064
Australia,Hyundai,94281,1146862,0.08220779832272758
Australia,Infiniti,649,1146862,0.0005658919730534276
Australia,Isuzu,37667,1146862,0.03284353304931195
Australia,Iveco,2315,1146862,0.002018551490937881
Australia,Jaguar,2679,1146862,0.002335939284761375
Australia,Jeep,7326,1146862,0.006387865322942081
Australia,Kenworth,2946,1146862,0.002568748463197839
Australia,Kia,58815,1146862,0.051283415092661544
Australia,LDV,6064,1146862,0.0052874713784221644
Australia,Lamborghini,134,1146862,0.00011684056146249505
Australia,Land Rover,10089,1146862,0.008797047944739646
Australia,Lexus,8819,1146862,0.007689678444311522
Australia,MAN,1218,1146862,0.0010620283870247684
Australia,MG,3007,1146862,0.00262193707699793
Australia,MINI,3590,1146862,0.003130280713808636
Australia,Maserati,642,1146862,0.000559788361633745
Australia,Mazda,111280,1146862,0.09702998268318246
Australia,Mercedes-Benz,40726,1146862,0.03551081123971323
Australia,Mitsubishi,84944,1146862,0.07406645263335955
Australia,Mitsubishi Fuso,4101,1146862,0.0035758443474454642
Australia,Nissan,57699,1146862,0.050310325043466435
Australia,Peugeot,2838,1146862,0.002474578458437022
Australia,Porsche,3909,1146862,0.0034084310056484565
Australia,Ram,723,1146862,0.0006304158652043576
Australia,Renault,8483,1146862,0.007396705096166758
Australia,Scania,893,1146862,0.0007786464282537916
Australia,Skoda,5807,1146862,0.005063381644870961
