Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,546.743010078504
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Albania,ALB,4431.53918098494
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Algeria,DZA,4154.21903821671
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,American Samoa,ASM,11393.6056572867
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Andorra,AND,38301.4504295522
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Angola,AGO,2717.47412052785
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,16146.5927471262
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Argentina,ARG,13105.397163317
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Armenia,ARM,4051.38496692373
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Aruba,ABW,30536.6671931455
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Australia,AUS,58447.2526505317
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Austria,AUT,46188.9665119872
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,5262.18380792188
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,32001.1556693263
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bahrain,BHR,21818.7423371891
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,1481.1833790234
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Barbados,BRB,16803.2646042707
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belarus,BLR,6165.90933024502
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belgium,BEL,42403.533592766
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belize,BLZ,4709.85588615736
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Benin,BEN,1155.31316796067
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bermuda,BMU,106697.737486296
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bhutan,BTN,3097.14835098189
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bolivia,BOL,3291.15636101039
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bosnia and Herzegovina,BIH,5387.26967062662
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Botswana,BWA,6973.09884562464
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brazil,BRA,8582.33863665038
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,British Virgin Islands,VGB,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,29802.7828760991
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bulgaria,BGR,7859.67803704994
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Burkina Faso,BFA,718.642559523889
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Burundi,BDI,281.934731740358
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cabo Verde,CPV,3333.06610990367
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cambodia,KHM,1365.8290574314
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cameroon,CMR,1437.27153388392
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Canada,CAN,44917.4837282326
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cayman Islands,CYM,81494.8886873622
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Central African Republic,CAF,412.990202678674
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Chad,TCD,658.688891935225
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Channel Islands,CHI,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Chile,CHL,13886.1905540497
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,China,CHN,9619.19248413167
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Colombia,COL,6271.87512055936
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Comoros,COM,1290.28688619226
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Congo, Dem. Rep.",COD,506.958273711373
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Congo, Rep.",COG,1841.17390316672
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Costa Rica,CRI,12573.955849624
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cote d'Ivoire,CIV,2247.77660859265
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Croatia,HRV,13519.5588337019
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cuba,CUB,8040.98799500021
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Curacao,CUW,18198.6641008675
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cyprus,CYP,27161.404296875
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Czechia,CZE,19685.4944824973
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Denmark,DNK,56563.4884729669
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Djibouti,DJI,2992.53134406865
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Dominica,DMA,7501.59215430265
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Dominican Republic,DOM,7997.7611092431
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ecuador,ECU,5952.21808360301
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Egypt, Arab Rep.",EGY,3831.19983495957
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,El Salvador,SLV,3920.52627751227
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Equatorial Guinea,GNQ,8124.18286170684
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Eritrea,ERI,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Estonia,EST,19677.6768375961
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Eswatini,SWZ,3775.03988118654
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ethiopia,ETH,757.35041670679
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Faroe Islands,FRO,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Fiji,FJI,5938.4275368055
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Finland,FIN,45628.9257036813
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,France,FRA,38291.8657809431
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,French Polynesia,PYF,20819.6320811137
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Gabon,GAB,7019.8275539348
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Gambia, The",GMB,692.632098181955
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Georgia,GEO,4539.08752230476
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Germany,DEU,42973.2899573032
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ghana,GHA,1970.26082923134
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Gibraltar,GIB,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Greece,GRC,18647.4957207515
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Greenland,GRL,47013.0349493846
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Grenada,GRD,10115.0641113487
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guam,GUM,35103.1618350584
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guatemala,GTM,4160.07113765612
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guinea,GIN,920.964278702536
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guinea-Bissau,GNB,637.546681187029
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guyana,GUY,6178.88974588029
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Haiti,HTI,1414.99940884475
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Honduras,HND,2475.170273532
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Hong Kong SAR, China",HKG,45280.2188416436
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Hungary,HUN,14379.4442049294
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Iceland,ISL,57699.458929971
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,India,IND,1914.01239670815
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Indonesia,IDN,3732.86711146592
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Iran, Islamic Rep.",IRN,5454.29781802282
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Iraq,IRQ,4975.38104844748
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ireland,IRL,72607.6318544814
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Isle of Man,IMN,96449.339649052
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Israel,ISR,38301.4536594719
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Italy,ITA,31593.4802621599
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Jamaica,JAM,5043.54079018179
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Japan,JPN,36117.2276899342
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Jordan,JOR,4109.75242860846
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kazakhstan,KAZ,11053.3620631343
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kenya,KEN,1559.859146015
