country,gdp_per_capita,brand,cars_sold,country_total,share
Argentina,13105,Audi,3571,798665,0.0044712113339134
Argentina,13105,BMW,2843,798665,0.0035596902330764
Argentina,13105,Chevrolet,101951,798665,0.127651768889334
Argentina,13105,Dodge,384,798665,0.000480802338903
Argentina,13105,Ford,96206,798665,0.1204585151471518
Argentina,13105,Honda,9951,798665,0.0124595418604796
Argentina,13105,Hyundai,2740,798665,0.003430725022381
Argentina,13105,Jeep,14331,798665,0.0179436935385925
Argentina,13105,Kia,2816,798665,0.0035258838186223
Argentina,13105,Mercedes Benz,17194,798665,0.0215284255601535
Argentina,13105,Mitsubishi,218,798665,0.0002729554944814
Argentina,13105,Nissan,21955,798665,0.0274896233088967
Argentina,13105,Subaru,434,798665,0.0005434068101143
Argentina,13105,Toyota,91783,798665,0.1149205236237972
Argentina,13105,Volkswagen,120539,798665,0.1509256071068595
Argentina,13105,Volvo,307,798665,0.0003843914532375
Australia,58447,Audi,19416,1146862,0.0169296741892224
Australia,58447,BMW,23055,1146862,0.0201026801829688
Australia,58447,Chrysler,250,1146862,0.0002179861221315
Australia,58447,Ferrari,241,1146862,0.0002101386217347
Australia,58447,Ford,69081,1146862,0.0602347972118703
Australia,58447,Honda,51525,1146862,0.0449269397713064
Australia,58447,Hyundai,94281,1146862,0.0822077983227275
Australia,58447,Infiniti,649,1146862,0.0005658919730534
Australia,58447,Jeep,7326,1146862,0.006387865322942
Australia,58447,Kia,58815,1146862,0.0512834150926615
Australia,58447,Lamborghini,134,1146862,0.0001168405614624
Australia,58447,Lexus,8819,1146862,0.0076896784443115
Australia,58447,Mazda,111280,1146862,0.0970299826831824
Australia,58447,Mercedes Benz,40726,1146862,0.0355108112397132
Australia,58447,Mitsubishi,84944,1146862,0.0740664526333595
Australia,58447,Nissan,57699,1146862,0.0503103250434664
Australia,58447,Porsche,3909,1146862,0.0034084310056484
Australia,58447,Subaru,50015,1146862,0.043610303593632
Australia,58447,Toyota,217061,1146862,0.18926514262396
Australia,58447,Volkswagen,56620,1146862,0.0493694969403467
Australia,58447,Volvo,6693,1146862,0.005835924461705
Austria,46188,Audi,13277,383749,0.0345981357606143
Austria,46188,BMW,18552,383749,0.0483440999194786
Austria,46188,Ford,27844,383749,0.0725578437989415
Austria,46188,Honda,2610,383749,0.0068013206549072
Austria,46188,Hyundai,18836,383749,0.0490841669945719
Austria,46188,Jeep,4704,383749,0.0122580123987293
Austria,46188,Kia,9436,383749,0.024588989156975
Austria,46188,Lexus,364,383749,0.0009485366737112
Austria,46188,Mazda,10739,383749,0.0279844377444631
Austria,46188,Mercedes Benz,20931,383749,0.0545434646083768
Austria,46188,Mitsubishi,5643,383749,0.0147049243125063
Austria,46188,Nissan,7008,383749,0.0182619368389233
Austria,46188,Porsche,1338,383749,0.0034866540368834
Austria,46188,Subaru,742,383749,0.0019335555271805
Austria,46188,Toyota,8879,383749,0.0231375195765982
Austria,46188,Volkswagen,65990,383749,0.1719613601598962
Austria,46188,Volvo,4066,383749,0.010595467349752
Belgium,42403,Audi,28710,624935,0.0459407778408954
Belgium,42403,BMW,40004,624935,0.0640130573579652
Belgium,42403,Ford,34080,624935,0.0545336715018361
Belgium,42403,Honda,3093,624935,0.0049493147287317
Belgium,42403,Hyundai,21853,624935,0.0349684367174186
Belgium,42403,Infiniti,166,624935,0.000265627625273
Belgium,42403,Jeep,4942,624935,0.0079080224343331
Belgium,42403,Kia,13950,624935,0.0223223215214382
Belgium,42403,Lexus,1452,624935,0.0023234416379303
Belgium,42403,Mazda,8693,624935,0.0139102466656532
Belgium,42403,Mercedes Benz,42376,624935,0.0678086520998183
Belgium,42403,Mitsubishi,3368,624935,0.0053893604934913
Belgium,42403,Nissan,21039,624935,0.0336659012537303
Belgium,42403,Porsche,3220,624935,0.0051525358637298
Belgium,42403,Subaru,558,624935,0.0008928928608575
Belgium,42403,Toyota,19150,624935,0.0306431868914367
Belgium,42403,Volkswagen,61360,624935,0.098186211365982
Belgium,42403,Volvo,20155,624935,0.0322513541408306
Brazil,8582,Audi,7108,2531792,0.0028074976143379
Brazil,8582,BMW,8054,2531792,0.0031811460025152
Brazil,8582,Chevrolet,434241,2531792,0.1715152745565196
Brazil,8582,Dodge,678,2531792,0.0002677945107654
Brazil,8582,Ford,235413,2531792,0.0929827568773422
Brazil,8582,Honda,130957,2531792,0.0517250232246566
Brazil,8582,Hyundai,205793,2531792,0.0812835335604188
Brazil,8582,Jeep,106628,2531792,0.0421156240323059
Brazil,8582,Kia,10863,2531792,0.0042906368295657
Brazil,8582,Lexus,209,2531792,8.255022529496893e-05
Brazil,8582,Mercedes Benz,45890,2531792,0.0181255016209862
Brazil,8582,Mitsubishi,21591,2531792,0.0085279517432711
